"nuts1_from","And","Ara","Can","Cas","Cat","Ceu","Com","Ext","Gal","Ill","La ","Paí","Pri","Reg"
"And",24412.9543333008,684.507273367067,1464.0846846237,3869.74961470552,3620.31894482482,548.131246925109,7107.95241545127,2532.45129311305,781.051127124055,868.457773694173,553.49973828162,676.630319758753,1024.19952352509,2106.89586821958
"Ara",942.945820573016,6315.71340847094,204.160802787098,1895.68117715569,4593.66758546217,8.80772670777022,3888.98446906935,72.3989922856529,374.502143977276,25.5450367882883,650.993817253156,1169.56058531119,130.257387624834,174.15698228227
"Can",1545.95455016473,134.541283529622,6994.01022564647,890.704711386198,939.834841710269,0.43804516400455,1107.8763635445,19.118366485517,265.214431247187,159.771626542741,167.025444826148,1457.73127784267,217.880215023073,59.3956689886363
"Cas",3942.94087991397,1366.97261025963,1839.42688659134,20340.295197129,3070.72764505201,28.3521224238273,14653.7023313339,1679.8335584008,1538.97407309891,2.98698191430746,423.21027802301,2714.14646816765,714.783841028665,1214.38526916168
"Cat",4400.00818243391,7480.83390149987,3176.48182168598,6398.70261240685,48121.1712682982,102.840327023951,15440.1893635792,450.130393752704,2008.91840857661,2656.40800390742,930.3453197225,2819.91942386666,647.894148694201,1354.65086278135
"Ceu",44.5739001246413,0.12914871918769,0.03587782,0.20444794770625,0.78478497004543,0.33213366245108,4.72579768881693,0.00830440852287,0.04396532527696,0.00224999987174,0.00091979971163,0.17977923,0.07208119447927,2.84079670101002
"Com",7577.49413704813,4158.6971022333,3221.21840689849,13117.4872621925,10049.5631859278,129.997799630286,49386.6582667934,2061.11721490484,2280.20925141693,1857.69083172466,1710.44854839829,4672.33294701558,973.222884611148,3780.38858942009
"Ext",1364.5567187855,146.126030951186,72.1165008854597,806.352568704225,157.85066856617,1.31431131419816,940.192384784449,3407.82435762553,37.7611483350645,0,25.4593874765747,53.499404902286,10.2919110826182,44.5653081529311
"Gal",1215.32004054053,368.394015724313,961.004886608427,3409.80184633508,1508.96548107853,21.5780132205949,2371.56425892785,143.432508840906,13005.5267864417,308.006709493041,39.9210794843892,1410.3809133118,1306.11897039145,229.87593638317
"Ill",28.6502594442049,5.17659319235361,244.760808710902,0.02243611412642,368.016488990596,0.67645281794632,263.674204454389,0,38.7055935297592,2435.15279096806,0,8.84045033339751,3.42813112268559,27.1290573376818
"La ",288.072229839126,170.610755684506,255.541651632945,467.97973183886,330.140995730794,1.30196551152681,1048.98284518382,2.02870396594693,56.1369610937232,0,987.859108368409,477.463940379508,168.414575655291,58.2241646218148
"Paí",1305.95546893785,1198.51329475743,2137.45835324676,4984.06796311751,2867.13621885291,13.0167175309895,7060.29695137737,147.216518210145,1412.01482062532,110.699709411046,860.351567372434,15979.2101230593,1517.15919610094,353.03887969057
"Pri",361.574443208006,217.947539058198,800.255727882468,1726.50246220914,386.597139844813,1.43964130488724,1324.09980271451,46.9433698547486,1261.67353297831,21.7571848212771,206.947421761331,750.216024987118,3953.80614375025,151.150353485348
"Reg",1779.49042151433,52.8881543519465,159.891746978499,1264.05901955336,688.554887133284,31.0078330103917,4354.57182765849,71.8311707231925,210.044105327163,229.071550208027,74.8062849903664,53.9182149520273,51.6415028505656,4671.40714506055
